Dates,EE0003M Index,US0003M Index,AGGR,ULTR,SHOR,INTE,PREF,MORT,LONG,INFL,INVE,HIGH,CONV,CORP,MUNI,GOVE,BANK
01/04/2020,-0.24729,1.4365,-313.9493,-161.8981,77.1364,681.2904,-175.0941,10.26,-183.3878,-7.8993,344.175,-792.5804,-13.8802,-875.4958,-875.4958,-173.8508,-212.495
02/04/2020,-0.24114,1.373,160.2681,7.0149,270.7572,88.7325,-37.7501,51.42,1.6826,-590.237,303.0038,-303.6147,-13.8802,-366.3135,-366.3135,-92.2282,-88.9184
03/04/2020,-0.23243,1.38738,-381.676,499.0928,125.1335,-429.131,-33.8548,51.42,-122.2197,-5.99,88.3529,-588.3415,-33.5854,-664.4008,-664.4008,-159.1958,-104.0368
06/04/2020,-0.23157,1.35238,208.0209,15.7932,150.6181,164.0169,-2.0056,-50.677,201.9411,-80.42,1002.668,134.5487,-33.5854,669.3963,669.3963,-29.827,-23.2128
07/04/2020,-0.23343,1.31988,186.5865,244.368,-21.7929,-85.6172,15.6678,-27.7549,-245.9974,-11.0884,306.7297,765.5524,9.6049,1201.29,1201.29,10.8043,106.1255
08/04/2020,-0.22229,1.31138,169.6568,329.2574,370.4499,179.8014,53.5289,5.266,-249.1081,-126.097,767.25,818.2295,9.6049,1612.079,1612.079,84.9466,167.394
09/04/2020,-0.21243,1.21888,175.5914,25.3808,404.2704,-5.2217,175.8979,-183.0453,-46.4147,-520.7905,-1072.005,1503.068,9.6049,2027.065,2027.065,61.7811,69.3386
14/04/2020,-0.21857,1.17613,459.7765,97.9502,929.4196,-16.1076,13.2091,-135.1557,-402.9133,12.865,1735.5559,632.1726,10.259,2707.487,2707.487,-55.5957,-10.1481
15/04/2020,-0.21686,1.13488,115.8598,-209.4201,204.4962,175.8682,7.6416,-3.2797,-201.8477,55.3864,619.2745,277.07,10.1816,524.1791,524.1791,82.8574,-24.5905
16/04/2020,-0.19257,1.13525,649.0198,-160.3323,579.1924,71.465,-1.5792,-1.5575,-42.3616,69.0405,1011.227,455.0274,10.1816,847.3617,847.3617,88.4901,-24.5905
17/04/2020,-0.18214,1.109,347.1538,70.1692,754.8326,341.6383,28.3942,-1.5575,87.0702,-53.937,1633.339,958.1667,10.1816,1756.868,1756.868,49.348,21.1299
20/04/2020,-0.16714,1.09763,-148.8976,-31.4067,-247.0896,-94.4924,-10.0139,-90.7408,9.8824,50.7821,-139.4629,-43.2968,-15.5461,-278.8437,-278.8437,-27.5958,2.1194
21/04/2020,-0.15757,1.043,357.8385,73.4659,-69.6817,-68.071,-21.0264,-90.7408,266.907,33.5771,427.2093,-606.5719,20.3096,-921.0479,-921.0479,-14.453,-61.953
22/04/2020,-0.14243,1.02025,565.6042,76.0076,79.1975,-28.5592,-20.8037,-45.135,461.6912,66.915,709.1041,136.7329,10.3385,160.2613,160.2613,-101.0144,-12.5755
23/04/2020,-0.14757,0.99138,38.8989,-146.1448,113.4851,111.5782,-8.9993,-55.42,150.526,152.4894,508.5764,470.5842,10.3385,622.6693,622.6693,-51.0488,-12.5671
24/04/2020,-0.152,0.88713,219.3706,-150.5628,349.8584,96.8102,-10.6121,-42.5375,348.463,7.0486,491.9871,-564.5676,-10.4306,-791.8321,-791.8321,-33.9855,-72.5866
27/04/2020,-0.17357,0.84075,334.0521,-23.1837,493.6839,358.3285,-7.4598,7.6935,171.173,7.0486,681.559,228.0027,-10.4306,287.9482,287.9482,-63.4171,10.2746
28/04/2020,-0.16457,0.76013,397.2253,-131.4278,300.2312,413.3195,3.8276,-57.517,479.6174,-214.0561,561.1647,430.829,-10.4306,103.6095,103.6095,61.013,20.8537
29/04/2020,-0.174,0.68663,355.0267,308.9345,189.0725,414.1776,26.9287,20.111,130.4621,24.7475,1121.417,1233.479,-10.4306,1247.205,1247.205,4.2268,186.3583
30/04/2020,-0.185,0.55613,301.2171,-24.4324,234.9239,26.2452,38.0788,20.111,210.4083,-61.5887,526.1454,886.2223,-10.4306,1145.053,1145.053,-15.8432,62.6845
01/05/2020,-0.17071,0.54088,446.3189,-427.9362,261.3646,291.8476,1.6771,-46.7936,90.7649,108.765,207.2817,568.2708,-10.3857,292.2591,292.2591,22.3246,-70.9892
04/05/2020,-0.17414,0.50088,501.0956,128.7827,291.9929,329.4978,-11.8089,2.6735,-87.4783,108.2997,1420.201,-338.2006,-10.3857,302.0729,302.0729,17.5501,-135.3005
05/05/2020,-0.20486,0.474,522.2404,326.3454,328.4641,162.8382,-2.6862,82.8983,-50.5233,71.0218,1380.375,609.5483,-10.6303,1249.244,1249.244,111.3163,-35.4351
